           <...>-3563    [004] d..4. 11905.227481: bpf_trace_printk: 24064 delay 4448
 test_proc_image-24231   [004] d..4. 11905.990285: bpf_trace_printk: 24230 delay 60311271

 test_proc_image-24230   [004] d..4. 11905.994292: bpf_trace_printk: 24240 delay 60361225

 test_proc_image-24240   [004] d..4. 11905.998287: bpf_trace_printk: 24237 delay 60213666

 test_proc_image-24237   [004] d..4. 11906.002281: bpf_trace_printk: 24242 delay 60213644

 test_proc_image-24242   [004] d..4. 11906.006290: bpf_trace_printk: 24241 delay 56025917

 test_proc_image-24241   [004] d..4. 11906.010277: bpf_trace_printk: 24233 delay 52153351

 test_proc_image-24233   [004] d..4. 11906.014298: bpf_trace_printk: 24239 delay 60020627

 test_proc_image-24239   [004] d..4. 11906.018266: bpf_trace_printk: 24243 delay 71966960

 test_proc_image-24243   [004] d..4. 11906.022282: bpf_trace_printk: 24244 delay 59997292

 test_proc_image-24244   [004] d..4. 11906.026284: bpf_trace_printk: 24232 delay 59998093

 test_proc_image-24232   [004] d..4. 11906.030393: bpf_trace_printk: 24235 delay 60118053

 test_proc_image-24235   [004] d..4. 11906.034283: bpf_trace_printk: 24236 delay 60010818

 test_proc_image-24236   [004] d..4. 11906.038090: bpf_trace_printk: 24238 delay 59809811

 test_proc_image-24238   [004] d..4. 11906.042078: bpf_trace_printk: 24229 delay 59797829

 test_proc_image-24229   [004] d..4. 11906.045975: bpf_trace_printk: 24234 delay 59713559

 test_proc_image-24234   [004] d..4. 11906.050058: bpf_trace_printk: 24231 delay 59777029

 test_proc_image-24231   [004] d..4. 11906.054307: bpf_trace_printk: 24230 delay 60017442

 test_proc_image-24230   [004] d..4. 11906.058296: bpf_trace_printk: 24240 delay 60008826

 test_proc_image-24240   [004] d..4. 11906.062300: bpf_trace_printk: 24237 delay 60018906

 test_proc_image-24237   [004] d..4. 11906.066311: bpf_trace_printk: 24242 delay 60022422

 test_proc_image-24242   [004] d..4. 11906.070298: bpf_trace_printk: 24241 delay 60020739

 test_proc_image-24241   [004] d..4. 11906.074289: bpf_trace_printk: 24233 delay 59993977

 test_proc_image-24233   [004] d..4. 11906.078288: bpf_trace_printk: 24239 delay 60023815

 test_proc_image-24239   [004] d..4. 11906.082299: bpf_trace_printk: 24243 delay 60017492

 test_proc_image-24243   [004] d..4. 11906.086293: bpf_trace_printk: 24244 delay 60010429

 test_proc_image-24244   [004] d..4. 11906.090303: bpf_trace_printk: 24236 delay 52213656

 test_proc_image-24236   [004] d..4. 11906.094286: bpf_trace_printk: 24235 delay 60006121

 test_proc_image-24235   [004] d..4. 11906.098293: bpf_trace_printk: 24232 delay 67902160

 test_proc_image-24232   [004] d..4. 11906.102091: bpf_trace_printk: 24238 delay 60015076

 test_proc_image-24238   [004] d..4. 11906.106303: bpf_trace_printk: 24229 delay 60329433

 test_proc_image-24229   [004] d..4. 11906.110291: bpf_trace_printk: 24234 delay 60234313

 test_proc_image-24234   [004] d..4. 11906.114308: bpf_trace_printk: 24231 delay 60003548

 test_proc_image-24231   [004] d..4. 11906.118295: bpf_trace_printk: 24230 delay 60005551

 test_proc_image-24230   [004] d..4. 11906.122312: bpf_trace_printk: 24240 delay 60013847

 test_proc_image-24240   [004] d..4. 11906.126296: bpf_trace_printk: 24237 delay 59989542

 test_proc_image-24237   [004] d..4. 11906.130315: bpf_trace_printk: 24242 delay 60016823

 test_proc_image-24242   [004] d..4. 11906.134292: bpf_trace_printk: 24241 delay 60006834

 test_proc_image-24241   [004] d..4. 11906.138299: bpf_trace_printk: 24233 delay 60011763

 test_proc_image-24233   [004] d..4. 11906.142291: bpf_trace_printk: 24239 delay 59995664

 test_proc_image-24239   [004] d..4. 11906.145916: bpf_trace_printk: 24243 delay 59624538

 test_proc_image-24243   [004] d..4. 11906.150296: bpf_trace_printk: 24244 delay 59997947

 test_proc_image-24244   [004] d..4. 11906.154315: bpf_trace_printk: 24236 delay 60026742

 test_proc_image-24236   [004] d..4. 11906.158296: bpf_trace_printk: 24232 delay 56205633

 test_proc_image-24232   [004] d..4. 11906.162307: bpf_trace_printk: 24235 delay 64015680

 test_proc_image-24235   [004] d..4. 11906.166300: bpf_trace_printk: 24229 delay 56010311

 test_proc_image-24229   [004] d..4. 11906.170302: bpf_trace_printk: 24238 delay 64002495

 test_proc_image-24238   [004] d..4. 11906.174302: bpf_trace_printk: 24234 delay 59997046

 test_proc_image-24234   [004] d..4. 11906.178309: bpf_trace_printk: 24231 delay 60013857

 test_proc_image-24231   [004] d..4. 11906.182308: bpf_trace_printk: 24230 delay 59999190

 test_proc_image-24230   [004] d..4. 11906.186303: bpf_trace_printk: 24240 delay 60008857

 test_proc_image-24240   [004] d..4. 11906.190309: bpf_trace_printk: 24237 delay 59998348

 test_proc_image-24237   [004] d..4. 11906.194305: bpf_trace_printk: 24239 delay 48391388

 test_proc_image-24239   [004] d..4. 11906.198319: bpf_trace_printk: 24242 delay 64026891

 test_proc_image-24242   [004] d..4. 11906.202302: bpf_trace_printk: 24241 delay 64006182

 test_proc_image-24241   [004] d..4. 11906.206310: bpf_trace_printk: 24233 delay 64019336

 test_proc_image-24233   [004] d..4. 11906.210305: bpf_trace_printk: 24243 delay 60010501

 test_proc_image-24243   [004] d..4. 11906.214315: bpf_trace_printk: 24244 delay 60004148

 test_proc_image-24244   [004] d..4. 11906.218308: bpf_trace_printk: 24236 delay 60013256

 test_proc_image-24236   [004] d..4. 11906.222317: bpf_trace_printk: 24232 delay 60011553

 test_proc_image-24232   [004] d..4. 11906.226106: bpf_trace_printk: 24235 delay 59807676

 test_proc_image-24235   [004] d..4. 11906.230317: bpf_trace_printk: 24229 delay 60014858

 test_proc_image-24229   [004] d..4. 11906.234315: bpf_trace_printk: 24238 delay 60013396

 test_proc_image-24238   [004] d..4. 11906.238323: bpf_trace_printk: 24234 delay 60015050

 test_proc_image-24234   [004] d..4. 11906.242326: bpf_trace_printk: 24231 delay 60018856

 test_proc_image-24231   [004] d..4. 11906.245860: bpf_trace_printk: 24230 delay 59555917

 test_proc_image-24230   [004] d..4. 11906.250318: bpf_trace_printk: 24240 delay 60012114

 test_proc_image-24240   [004] d..4. 11906.254422: bpf_trace_printk: 24237 delay 60115676

 test_proc_image-24237   [004] d..4. 11906.258320: bpf_trace_printk: 24239 delay 60002235

 test_proc_image-24239   [004] d..4. 11906.262327: bpf_trace_printk: 24242 delay 60024247

 test_proc_image-24242   [004] d..4. 11906.266519: bpf_trace_printk: 24241 delay 60210952

 test_proc_image-24241   [004] d..4. 11906.270330: bpf_trace_printk: 24233 delay 60023305

 test_proc_image-24233   [004] d..4. 11906.274322: bpf_trace_printk: 24232 delay 48216155

 test_proc_image-24232   [004] d..4. 11906.278320: bpf_trace_printk: 24243 delay 64006432

 test_proc_image-24243   [004] d..4. 11906.282324: bpf_trace_printk: 24244 delay 64016491

 test_proc_image-24244   [004] d..4. 11906.286338: bpf_trace_printk: 24236 delay 64020779

 test_proc_image-24236   [004] d..4. 11906.290325: bpf_trace_printk: 24235 delay 60010431

 test_proc_image-24235   [004] d..4. 11906.294316: bpf_trace_printk: 24229 delay 60004599

 test_proc_image-24229   [004] d..4. 11906.298322: bpf_trace_printk: 24238 delay 60001544

 test_proc_image-24238   [004] d..4. 11906.302308: bpf_trace_printk: 24234 delay 59985042

 test_proc_image-24234   [004] d..4. 11906.305874: bpf_trace_printk: 24231 delay 60017394

 test_proc_image-24231   [004] d..4. 11906.310339: bpf_trace_printk: 24240 delay 55919865

 test_proc_image-24240   [004] d..4. 11906.314334: bpf_trace_printk: 24237 delay 56014991

 test_proc_image-24237   [004] d..4. 11906.318333: bpf_trace_printk: 24230 delay 68016789

 test_proc_image-24230   [004] d..4. 11906.322338: bpf_trace_printk: 24239 delay 60012354

 test_proc_image-24239   [004] d..4. 11906.326336: bpf_trace_printk: 24241 delay 56009470

     kworker/4:1-174     [004] d..4. 11906.330364: bpf_trace_printk: 24242 delay 63845465

 test_proc_image-24242   [004] d..4. 11906.334339: bpf_trace_printk: 24233 delay 60018225

 test_proc_image-24233   [004] d..4. 11906.338340: bpf_trace_printk: 24232 delay 60021351

 test_proc_image-24232   [004] d..4. 11906.342330: bpf_trace_printk: 24243 delay 60008496

 test_proc_image-24243   [004] d..4. 11906.346326: bpf_trace_printk: 24244 delay 59992376

 test_proc_image-24244   [004] d..4. 11906.350347: bpf_trace_printk: 24236 delay 60021491

 test_proc_image-24236   [004] d..4. 11906.354334: bpf_trace_printk: 24235 delay 60013837

 test_proc_image-24235   [004] d..4. 11906.358334: bpf_trace_printk: 24229 delay 60013536

 test_proc_image-24229   [004] d..4. 11906.362329: bpf_trace_printk: 24238 delay 60022885

 test_proc_image-24238   [004] d..4. 11906.366330: bpf_trace_printk: 24234 delay 60458702

 test_proc_image-24234   [004] d..4. 11906.370333: bpf_trace_printk: 24231 delay 59997846

 test_proc_image-24231   [004] d..4. 11906.374330: bpf_trace_printk: 24240 delay 60000451

 test_proc_image-24240   [004] d..4. 11906.378242: bpf_trace_printk: 24237 delay 59911193

